target_table.target_column_name,source_table_name.source_column_name
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_DESCRIPTION,F_SL_JOURNAL_DISTRIBUTION.LINE_DESCRIPTION
F_AP_INVOICE_LINE_DISTRIBUTION_V2.LINE_DESCRIPTION,F_SL_JOURNAL_DISTRIBUTION.LINE_DESCRIPTION
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DISTRIBUTION_AMOUNT,F_SL_JOURNAL_DISTRIBUTION.ACCOUNTED_CR_minus_ACCOUNTED_DR
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_CODE_COMBINATION_ID,F_SL_JOURNAL_DISTRIBUTION.CODE_COMBINATION_ID
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_LAST_UPDATE_DATE,F_SL_JOURNAL_DISTRIBUTION.LAST_UPDATE_DATE
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_LAST_UPDATE_BY,F_SL_JOURNAL_DISTRIBUTION.LAST_UPDATED_BY
F_AP_INVOICE_LINE_DISTRIBUTION_V2.DIST_LAST_UPDATE_LOGIN,F_SL_JOURNAL_DISTRIBUTION.LAST_UPDATE_LOGIN
F_AP_INVOICE_LINE_DISTRIBUTION_V2.LINES_AMOUNT_debug_only,F_SL_JOURNAL_DISTRIBUTION.ENTERED_CR_minus_ENTERED_DR
F_AP_INVOICE_LINE_DISTRIBUTION_V2.BZ_LOAD_DATE,F_SL_JOURNAL_DISTRIBUTION.BZ_LOAD_DATE
F_AP_INVOICE_LINE_DISTRIBUTION_V2.SV_LOAD_DATE,F_SL_JOURNAL_DISTRIBUTION.SV_LOAD_DATE
